Series,official_pinyin,official_Chinese,official_translation,Institution 1,Institution 2,Institution 3
3505,cheng xiang,丞相,Grand Councilor,中央中樞官署類,中書省門,
3506,zhi sheng she ren,直省舍人,Drafter on Duty In the Secretariat ,中央中樞官署類,中書省門,
3507,qiu guan,秋官,Autumn Support,中央中樞官署類,內閣門,
3508,chun guan,春官,Spring Support,中央中樞官署類,內閣門,
3509,xia guan,夏官,Summer Support,中央中樞官署類,內閣門,
3510,dong guan,冬官,Winter Support,中央中樞官署類,內閣門,
3511,zhong zai,冢宰,Minister of Personnel ,中央中樞官署類,六部門,吏部
3512,feng luan,奉鑾,Director of the Music Office in the Ministry of Rites ,中央中樞官署類,六部門,禮部
3513,he sheng lang,和聲郎,Director of the Music Office in the Ministry of Rites ,中央中樞官署類,六部門,禮部
3514,fu lang,副郎,Vice Director of a Bureau in a Ministry,中央中樞官署類,六部門,
3515,xiang guo,相國,Grand Councilor,中央中樞官署類,中書省門,
3516,zuo xiang guo,左相國,Left Grand Councilor,中央中樞官署類,中書省門,
3517,you xiang guo,右相國,Right Grand Councilor,中央中樞官署類,中書省門,
3518,xun cha ma yu shi,巡茶馬御史,Horse Trade Censor,司法監察機構類,都察院門,御史
3519,lang guan,郎官,Director of a Bureau or Vice Minister in a Ministry ,中央中樞官署類,六部門,
3520,min ke guan li,民科管理,Manager of the Statistics Section in the Ministry of Revenue,中央中樞官署類,六部門,戶部
3521,du zhi ke guan li,度支科管理,Manager of the General Accounts Section in the Ministry of Revenue,中央中樞官署類,六部門,戶部
3522,jin ke guan li,金科管理,Manager of the Special Accounts Section in the Ministry of Revenue,中央中樞官署類,六部門,戶部
3523,cang ke guan li,倉科管理,Manager of the Granaries Section in the Ministry of Revenue,中央中樞官署類,六部門,戶部
3524,pai zhang,俳長,File Leader,中央中樞官署類,六部門,禮部
3525,shao zai,少宰,Junior Steward,中央中樞官署類,六部門,吏部
3526,shao wu,韶舞,Ceremonial Dancer,中央中樞官署類,六部門,禮部
3527,zuo shao wu,左韶舞,Left Ceremonial Dancer,中央中樞官署類,六部門,禮部
3528,you shao wu,右韶舞,Right Ceremonial Dancer,中央中樞官署類,六部門,禮部
3529,li bu jiao fang si si yue,禮部教坊司司樂,Music Director of the Music Office in the Ministry of Rites ,中央中樞官署類,六部門,禮部
3530,li bu jiao fang si zuo si yue,禮部教坊司左司樂,Left Music Director of the Music Office in the Ministry of Rites ,中央中樞官署類,六部門,禮部
3531,li bu jiao fang si you si yue,禮部教坊司右司樂,Right Music Director of the Music Office in the Ministry of Rites ,中央中樞官署類,六部門,禮部
3532,shou fu,首輔,Senior Grand Secretary,中央中樞官署類,內閣門,
3533,shou kui,首揆,Senior Grand Secretary,中央中樞官署類,內閣門,
3534,si cheng,司程,Monitor of Measurements,中央中樞官署類,六部門,工部
3535,li bu si feng si lang zhong,吏部司封司郎中,Director of the Bureau of Honors of the Ministry of Personnel,中央中樞官署類,六部門,吏部
3536,li bu si feng si yuan wai lang,吏部司封司員外郎,Vice Director of the Bureau of Honors of the Ministry of Personnel,中央中樞官署類,六部門,吏部
3537,si kou,司寇,Minister of Justice,中央中樞官署類,六部門,刑部
3538,si nong,司農,Minister of Revenue,中央中樞官署類,六部門,戶部
3539,da si nong,大司農,Minister of Revenue,中央中樞官署類,六部門,戶部
3540,tie ye suo da shi,鐵冶所大使,Commissioner of the Iron Smelting Offîce,中央中樞官署類,六部門,工部
3541,tie ye suo fu shi,鐵冶所副使,Vice Commissioner of the Iron Smelting Offîce,中央中樞官署類,六部門,工部
3542,zai fu,宰輔,Steward-bulwark of State,中央中樞官署類,內閣門,
3543,tong shi,通事,Interpreter clerk,中央中樞官署類,寺監門,太常寺
3544,ya qing,亞卿,Vice Minister of a Ministry,跨類官名類,,
3545,yuan fu,元輔,Principal Support,中央中樞官署類,內閣門,
3546,pan lu si pan lu,判錄司判錄,,中央中樞官署類,六部門,戶部
3547,pan lu si fu pan,判錄司副判,,中央中樞官署類,六部門,戶部
3548,pan lu si zheng,判錄司正,,中央中樞官署類,六部門,戶部
3549,pan lu si fu,判錄司副,,中央中樞官署類,六部門,戶部
3550,pan lu zuo si fu,判錄左司副,,中央中樞官署類,六部門,戶部
3551,pan lu you si fu,判錄右司副,,中央中樞官署類,六部門,戶部
3552,cha yan si ling,察言司令,Director of the Office of Investigation and Remonstrance,中央輔佐官署類,秘書門,通政使司
3553,zhang li,掌曆,Calendar Clerk,中央輔佐官署類,寺監門,欽天監
3554,yan sheng gong fu zhang shu,衍聖公府掌書,Secretary,中央輔佐官署類,寺監門,
3555,zheng yi,正一,Taoist Patriarch,中央輔佐官署類,僧道官門,道錄司
3556,zheng yan,正言,Exhorter,中央輔佐官署類,六科門,
3557,zuo zheng yan,左正言,Left Exhorter,中央輔佐官署類,六科門,
3558,you zheng yan,右正言,Right Exhorter,中央輔佐官署類,六科門,
3559,ji jian,給諫,Submitter of Remonstrance,中央輔佐官署類,六科門,
3560,ji yi si ling,稽疑司令,Director of the Religious Office,中央輔佐官署類,寺監門,欽天監
3561,ji yi si cheng,稽疑司丞,Vice Director of the Religious Office,中央輔佐官署類,寺監門,欽天監
3562,ji yi si zuo cheng,稽疑司左丞,Left Vice Director of the Religious Office,中央輔佐官署類,寺監門,欽天監
3563,ji yi si you cheng,稽疑司右丞,Right Vice Director of the Religious Office,中央輔佐官署類,寺監門,欽天監
3564,ji she,給舍,Supervising Secretaries and Secretariat Drafters,中央輔佐官署類,,
3565,jiao shi lang,校事郎,Examiner,中央輔佐官署類,寺監門,欽天監
3566,tong pan tai shi jian shi,通判太史監事,Vice Director of Astrology  in the early Ming Directorate of Astrology,中央輔佐官署類,寺監門,欽天監
3567,qian pan tai shi jian shi,僉判太史監事,Assistant Director of Astrology in the early Ming Directorate of Astrology,中央輔佐官署類,寺監門,欽天監
3568,wu guan zheng,五官正,,中央輔佐官署類,寺監門,欽天監
3569,ling tai lang,靈臺郎,,中央輔佐官署類,寺監門,欽天監
3570,bao zhang zheng,保章正,Director of Calendrical Calculations,中央輔佐官署類,寺監門,欽天監
3571,bao zhang fu,保章副,Vice Director of Calendrical Calculations,中央輔佐官署類,寺監門,欽天監
3572,qie hu zheng,挈壺正,Supervisor of Water Clocks,中央輔佐官署類,寺監門,欽天監
3573,tai shi yuan tong zhi,太史院同知,,中央輔佐官署類,寺監門,欽天監
3574,tai shi yuan yuan pan,太史院院判,Administrative Assistant of the Astrological Commission,中央輔佐官署類,寺監門,欽天監
3575,yu yang si,雨暘司,,中央輔佐官署類,寺監門,欽天監
3576,shi xu lang,時敍郎,,中央輔佐官署類,寺監門,欽天監
3577,ji hou lang,紀候郎,,中央輔佐官署類,寺監門,欽天監
3578,si tian jian jian ling,司天監令,,中央輔佐官署類,寺監門,欽天監
3579,si tian jian jian cheng,司天監丞,,中央輔佐官署類,寺監門,欽天監
3580,si tian jian zhu bu,司天監主簿,,中央輔佐官署類,寺監門,欽天監
3581,si tian jian zhu shi,司天監主事,,中央輔佐官署類,寺監門,欽天監
3582,si tian jian jian hou,司天監監候,Astronomical Observer of the Directorate of Astronomy,中央輔佐官署類,寺監門,欽天監
3583,si tian jian jian chen,司辰,Timekeeper,中央輔佐官署類,寺監門,欽天監
3584,hui hui si tian jian jian ling,回回司天監監令,Director of the Directorate of Moslem Astronomy,中央輔佐官署類,寺監門,欽天監
3585,hui hui si tian jian shao jian,回回司天監少監,Vice Director of the Directorate of Moslem Astronomy,中央輔佐官署類,寺監門,欽天監
3586,hui hui si tian jian jian cheng,回回司天監監丞,Secretary of the Directorate of Moslem Astronomy,中央輔佐官署類,寺監門,欽天監
3587,qin tian jian jian ling,欽天監令,,中央輔佐官署類,寺監門,欽天監
3588,qin tian jian shao jian,欽天監少監,,中央輔佐官署類,寺監門,欽天監
3589,zheng yi da fu,正儀大夫,,中央輔佐官署類,寺監門,欽天監
3590,fen shuo da fu,分朔大夫,,中央輔佐官署類,寺監門,欽天監
3591,si xuan da fu,司玄大夫,,中央輔佐官署類,寺監門,欽天監
3592,ping zhi lang,平秩郎,,中央輔佐官署類,寺監門,欽天監
3593,si zheng lang,司正郎,,中央輔佐官署類,寺監門,欽天監
3594,qie hu lang,挈壺郎,,中央輔佐官署類,寺監門,欽天監
3595,jian hou,監候,Astronomical Observer,中央輔佐官署類,寺監門,欽天監
3596,mu jian ling,牧監令,,中央輔佐官署類,寺監門,太僕寺
3597,mu jian cheng,牧監丞,,中央輔佐官署類,寺監門,太僕寺
3598,jian shi,監試,Examination Overseer,中央輔佐官署類,考官門,會試官
3599,jian yue guan,檢閱官,Editorial Examiner,中央輔佐官署類,秘書門,翰林院
3600,zhi xue shi,直學士,Auxiliary Academician,中央輔佐官署類,秘書門,翰林院
3601,jiu guan tong shi shi,九關通事使,Transmission Commissioner for the Capital Gates,中央輔佐官署類,寺監門,鴻臚寺
3602,shi yi shi,侍儀使,Commissioner of the Palace Ceremonial Office,中央輔佐官署類,寺監門,鴻臚寺
3603,yin jin shi,引進使,,中央輔佐官署類,寺監門,鴻臚寺
3604,feng ban du zhi,奉班都知,Protocol Officer of the Palace Ceremonial Office,中央輔佐官署類,寺監門,鴻臚寺
3605,tong zan,通贊,,中央輔佐官署類,寺監門,鴻臚寺
3606,tong shi she ren,鴻臚寺通事舍人,,中央輔佐官署類,寺監門,鴻臚寺
3607,dian ting yi li si shi,殿庭儀禮司使,Commissioner of the Palace Ceremonial Office,中央輔佐官署類,寺監門,鴻臚寺
3608,dian ting yi li si fu,殿庭儀禮司副,Vice Commissioner of the Palace Ceremonial Office,中央輔佐官署類,寺監門,鴻臚寺
3609,dian ting yi li si cheng feng,殿庭儀禮司承奉,,中央輔佐官署類,寺監門,鴻臚寺
3610,dian ting yi li si ming zan,殿庭儀禮司鳴贊,,中央輔佐官署類,寺監門,鴻臚寺
3611,dian ting yi li si xu ban,殿庭儀禮司序班,,中央輔佐官署類,寺監門,鴻臚寺
3612,jiu guan tong shi shi fu,九關通事使副,,中央輔佐官署類,寺監門,鴻臚寺
3613,dian ting yi li si zheng,殿庭儀禮司正,Commissioner of the Palace Ceremonial Office,中央輔佐官署類,寺監門,鴻臚寺
3614,dian ting yi li si zuo si fu,殿庭儀禮司左司副,Left Vice Commissioner of the Palace Ceremonial Office,中央輔佐官署類,寺監門,鴻臚寺
3615,dian ting yi li si you si fu,殿庭儀禮司右司副,Right Vice Commissioner of the Palace Ceremonial Office,中央輔佐官署類,寺監門,鴻臚寺
3616,dian ting yi li si si yi,殿庭儀禮司司儀,Ceremonials Official of the Palace Ceremonial Office,中央輔佐官署類,寺監門,鴻臚寺
3617,dian ting yi li si zuo si cheng,殿庭儀禮司左司丞,,中央輔佐官署類,寺監門,鴻臚寺
3618,dian ting yi li si you si cheng,殿庭儀禮司右司丞,,中央輔佐官署類,寺監門,鴻臚寺
3619,feng si,奉祀,Sacrificer,中央輔佐官署類,寺監門,太常寺
3620,xie lv lang,協律郎,Chief Musician,中央輔佐官署類,寺監門,太常寺
3621,xiu zhuan guan,修撰官,Senior Compiler,中央輔佐官署類,秘書門,翰林院
