official_pinyin,official_Chinese,official_translation,Institution 1,Institution 2,Institution 3
huang di,皇帝,Emperor,皇族宮廷類,帝后門,
huang hou,皇后,Empress,皇族宮廷類,帝后門,
huang tai hou,皇太后,Empress Dowager,皇族宮廷類,帝后門,
tai huang tai hou,太皇太后,Grand Empress Dowager,皇族宮廷類,帝后門,
an pin,安嬪,,皇族宮廷類,帝后門,內命婦
cai ren,才人,Lady of Talents,皇族宮廷類,帝后門,內命婦
chen fei,宸妃,Chamber Consort,皇族宮廷類,帝后門,內命婦
chong fei,充妃,Consort of Fulfillment ,皇族宮廷類,帝后門,內命婦
de fei,德妃,Virtuous Consort,皇族宮廷類,帝后門,內命婦
de pin,德嬪,Virtuous Concubine,皇族宮廷類,帝后門,內命婦
ding fei,定妃,Consort of Serenity ,皇族宮廷類,帝后門,內命婦
gong fei,恭妃,Reverent Consort,皇族宮廷類,帝后門,內命婦
he pin,和嬪,,皇族宮廷類,帝后門,內命婦
hui fei,惠妃,Gracious Consort,皇族宮廷類,帝后門,內命婦
hui pin,惠嬪,,皇族宮廷類,帝后門,內命婦
jie yu,婕妤,,皇族宮廷類,帝后門,內命婦
jing fei,敬妃,,皇族宮廷類,帝后門,內命婦
kang fei,康妃,Healthy Consort,皇族宮廷類,帝后門,內命婦
kang pin,康嬪,Healthy Concubine,皇族宮廷類,帝后門,內命婦
ning fei,寧妃,Restful Consort,皇族宮廷類,帝后門,內命婦
xi pin,僖嬪,,皇族宮廷類,帝后門,內命婦
zhao fei,昭妃,Bright Consort,皇族宮廷類,帝后門,內命婦
zhao rong,昭容,Lady of Bright Countenance,皇族宮廷類,帝后門,內命婦
zhao yi,昭儀,,皇族宮廷類,帝后門,內命婦
gui fei,貴妃,Honored Consort,皇族宮廷類,帝后門,內命婦
gui ren ,貴人,,皇族宮廷類,帝后門,內命婦
huang fei,皇妃,Imperial Consort,皇族宮廷類,帝后門,內命婦
huang gui fei,皇貴妃,Imperial Honored Consort,皇族宮廷類,帝后門,內命婦
li fei,禮妃,Courteous Consort,皇族宮廷類,帝后門,內命婦
li fei,麗妃,Elegant Consort ,皇族宮廷類,帝后門,內命婦
li pin,麗嬪,,皇族宮廷類,帝后門,內命婦
mei ren,美人,,皇族宮廷類,帝后門,內命婦
shu fei,淑妃,Pure Consort,皇族宮廷類,帝后門,內命婦
shun fei,順妃,Complaisant Consort,皇族宮廷類,帝后門,內命婦
xian fei,賢妃,Worthy Consort,皇族宮廷類,帝后門,內命婦
xuan shi,選侍,Chosen Attendant,皇族宮廷類,帝后門,內命婦
zhuang fei,莊妃,Sedate Consort,皇族宮廷類,帝后門,內命婦
zhuang pin,莊嬪,,皇族宮廷類,帝后門,內命婦
gong pin,宮嬪,Concubine,皇族宮廷類,帝后門,
tai zi shao bao,太子少保,Junior Guardian of the Heir Apparent,皇族宮廷類,皇太子與東宮門,三師三少
tai zi shao fu,太子少傅,Junior Mentor of the Heir Apparent,皇族宮廷類,皇太子與東宮門,三師三少
tai zi shao shi,太子少師,Junior Preceptor of the Heir Apparent,皇族宮廷類,皇太子與東宮門,三師三少
tai zi tai bao,太子太保,Grand Guardian of the Heir Apparent,皇族宮廷類,皇太子與東宮門,三師三少
tai zi tai fu,太子太傅,Grand Mentor of the Heir Apparent,皇族宮廷類,皇太子與東宮門,三師三少
tai zi tai shi,太子太師,Grand Preceptor of the Heir Apparent,皇族宮廷類,皇太子與東宮門,三師三少
ban du,太子伴讀,Reader-companion,皇族宮廷類,皇太子與東宮門,皇太子宫
dong gong jiang du guan,東宮講讀官,Instructional Official of the Eastern Palace,皇族宮廷類,皇太子與東宮門,皇太子宫
dong gong jiang guan,東宮講官,Lecturer of the Eastern Palace,皇族宮廷類,皇太子與東宮門,皇太子宫
dong gong shi zheng,東宮侍正,,皇族宮廷類,皇太子與東宮門,皇太子宫
dong gong shu zi,東宮庶子,,皇族宮廷類,皇太子與東宮門,皇太子宫
dong gong wen xue,東宮文學,,皇族宮廷類,皇太子與東宮門,皇太子宫
dong gong xi ma,東宮洗馬,,皇族宮廷類,皇太子與東宮門,皇太子宫
dong gong you shuai fu fu shi,東宮右率府副使,,皇族宮廷類,皇太子與東宮門,皇太子宫
dong gong you shuai fu shi,東宮右率府使,,皇族宮廷類,皇太子與東宮門,皇太子宫
dong gong yu de da fu,東宮諭德大夫,,皇族宮廷類,皇太子與東宮門,皇太子宫
dong gong zan du,東宮贊讀,,皇族宮廷類,皇太子與東宮門,皇太子宫
dong gong zan shan da fu,東宮贊善大夫,,皇族宮廷類,皇太子與東宮門,皇太子宫
dong gong zheng zi,東宮正字,,皇族宮廷類,皇太子與東宮門,皇太子宫
dong gong zhong she,東宮中舍,,皇族宮廷類,皇太子與東宮門,皇太子宫
dong gong zuo shuai fu fu shi,東宮左率府副使,,皇族宮廷類,皇太子與東宮門,皇太子宫
dong gong zuo shuai fu shi,東宮左率府使,,皇族宮廷類,皇太子與東宮門,皇太子宫
jian guo,監國,Regent,皇族宮廷類,皇太子與東宮門,皇太子宫
tai zi bin ke,太子賓客,Adviser to the Heir Apparent,皇族宮廷類,皇太子與東宮門,皇太子宫
tai zi chu ge shi ban jiang du guan,太子出閣侍班講讀官,Instructional Official of the Heir Apparent,皇族宮廷類,皇太子與東宮門,皇太子宫
tai zi xi ma,太子洗馬,Librarian of the Heir Apparent,皇族宮廷類,皇太子與東宮門,皇太子宫
tai zi you zhan shi,太子右詹事,Right Supervisor of the Household of the Heir Apparent,皇族宮廷類,皇太子與東宮門,皇太子宫
tai zi zan shan da fu,太子贊善大夫,Grand Master Admonisher of the Heir Apparent,皇族宮廷類,皇太子與東宮門,皇太子宫
tai zi zheng zi,太子正字,Proofreader for the Heir Apparent,皇族宮廷類,皇太子與東宮門,皇太子宫
tai zi zuo yu de,太子左諭德,Left Adviser to the Heir Apparent,皇族宮廷類,皇太子與東宮門,皇太子宫
zhong yun,中允,Companion for the Heir Apparent,皇族宮廷類,皇太子與東宮門,皇太子宫
chun fang zan shan da fu,春坊贊善大夫,Grand Master Admonisher of the Secretariats of the,皇族宮廷類,皇太子與東宮門,詹事府
jiang du guan,講讀官,Instructional Officials,皇族宮廷類,皇太子與東宮門,詹事府
zan shan,贊善,,皇族宮廷類,皇太子與東宮門,詹事府
zhan shi,詹事,Supervisor of the Household of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
zhan shi fu cheng,詹事府丞,Aide to the Supervisor of the Household Administration of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
zhan shi fu fu cheng,詹事府府丞,Aide in the Household Administration of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
zhan shi fu fu zhan shi,詹事府副詹事,Vice Supervisor of the Household of the Household Administration of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
zhan shi fu shao zhan shi,詹事府少詹事,Junior Supervisor of the Household of the Household Administration of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
zhan shi fu si jing ju jiao shu,詹事府司經局校書,,皇族宮廷類,皇太子與東宮門,詹事府
zhan shi fu si jing ju xi ma,詹事府司經局洗馬,,皇族宮廷類,皇太子與東宮門,詹事府
zhan shi fu tong shi she ren,詹事府通事舍人,,皇族宮廷類,皇太子與東宮門,詹事府
zhan shi fu you chun fang you shu zi,詹事府右春坊右庶子,Right Mentor of the Right Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
zhan shi fu you chun fang you yu de,詹事府右春坊右諭德,Right Advisor in the Right Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
zhan shi fu zhan shi,詹事府詹事,Supervisor of the Household Administration of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
zhan shi fu zhu bu ting lu shi,詹事府主薄廳錄事,,皇族宮廷類,皇太子與東宮門,詹事府
zhan shi fu zhu bu ting zhu bu,詹事府主薄廳主薄,,皇族宮廷類,皇太子與東宮門,詹事府
zhan shi fu zi de yuan zan du,詹事府資德院贊讀,,皇族宮廷類,皇太子與東宮門,詹事府
zhan shi fu zi de yuan zan shu,詹事府資德院贊書,,皇族宮廷類,皇太子與東宮門,詹事府
zhan shi fu zi de yuan zhu zuo lang,詹事府資德院著作郎,,皇族宮廷類,皇太子與東宮門,詹事府
zhan shi fu zi de yuan zi de,詹事府資德院資德,,皇族宮廷類,皇太子與東宮門,詹事府
zhan shi fu zi de yuan zi shan,詹事府資德院資善,,皇族宮廷類,皇太子與東宮門,詹事府
zhan shi fu zuo chun fang zuo shu zi,詹事府左春坊左庶子,Left Mentor of the Left Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
zhan shi fu zuo chun fang zuo yu de,詹事府左春坊左諭德,Left Advisor in the Left Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
chun fang si zhi lang,春坊司直郎,,皇族宮廷類,皇太子與東宮門,詹事府
chun fang zhong yun,春坊中允,,皇族宮廷類,皇太子與東宮門,詹事府
fu zhan shi,副詹事,Vice Supervisor of Household,皇族宮廷類,皇太子與東宮門,詹事府
shao zhan shi,少詹事,Vice Supervisor of Household,皇族宮廷類,皇太子與東宮門,詹事府
shu zi,庶子,Mentor in the Household of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
si jing ju jiao shu,司經局校書,Editing Clerk in the Editorial Service in the Household of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
si jing ju xi ma,司經局洗馬,Librarian in the Editorial Service in the Household of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
si jing ju zheng zi,司經局正字,Proofreader in the Editorial Service in the Household of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
tong zhi zhan shi yuan shi,同知詹事院事,Associate Administrator of the Affairs of the Household Administration of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
you chun fang da xue shi,右春坊大學士,Grand Secretary of the Right Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
you chun fang qing ji lang,右春坊清紀郎,,皇族宮廷類,皇太子與東宮門,詹事府
you chun fang you qing ji lang,右春坊右清紀郎,Recorder of Misdeeds of the Right Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
you chun fang you shu zi,右春坊右庶子,Right Mentor of the Right Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
you chun fang you si jian,右春坊右司諫,Right Remonstrator of the Right Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
you chun fang you si zhi lang,右春坊右司直郎,Right Rectifier in the Right Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
