official_pinyin,official_Chinese,official_translation,Institution 1,Institution 2,Institution 3
cai ren,才人,Lady of Talents,皇族宮廷類,帝后門,內命婦
chen fei,宸妃,Chamber Consort,皇族宮廷類,帝后門,內命婦
chong fei,充妃,Consort of Fulfillment ,皇族宮廷類,帝后門,內命婦
de fei,德妃,Virtuous Consort,皇族宮廷類,帝后門,內命婦
de pin,德嬪,Virtuous Concubine,皇族宮廷類,帝后門,內命婦
ding fei,定妃,Consort of Serenity,皇族宮廷類,帝后門,內命婦
gong fei,恭妃,Reverent Consort,皇族宮廷類,帝后門,內命婦
gui fei,貴妃,Honored Consort,皇族宮廷類,帝后門,內命婦
gui ren,貴人,,皇族宮廷類,帝后門,內命婦
he pin,和嬪,,皇族宮廷類,帝后門,內命婦
huang fei,皇妃,Imperial Consort,皇族宮廷類,帝后門,內命婦
huang gui fei,皇貴妃,Imperial Honored Consort,皇族宮廷類,帝后門,內命婦
huang hou,皇后,Empress,皇族宮廷類,帝后門,內命婦
hui fei,惠妃,Gracious Consort,皇族宮廷類,帝后門,內命婦
hui pin,惠嬪,,皇族宮廷類,帝后門,內命婦
jie yu,婕妤,,皇族宮廷類,帝后門,內命婦
jing fei,敬妃,,皇族宮廷類,帝后門,內命婦
kang fei,康妃,Healthy Consort,皇族宮廷類,帝后門,內命婦
kang pin,康嬪,Healthy Concubine,皇族宮廷類,帝后門,內命婦
li fei,麗妃,Elegant Consort,皇族宮廷類,帝后門,內命婦
li pin,麗嬪,,皇族宮廷類,帝后門,內命婦
mei ren,美人,,皇族宮廷類,帝后門,內命婦
ning fei,寧妃,Restful Consort,皇族宮廷類,帝后門,內命婦
shu fei,淑妃,Pure Consort,皇族宮廷類,帝后門,內命婦
shun fei,順妃,Complaisant Consort,皇族宮廷類,帝后門,內命婦
xi pin,僖嬪,,皇族宮廷類,帝后門,內命婦
xian fei,賢妃,Worthy Consort,皇族宮廷類,帝后門,內命婦
zhao fei,昭妃,Bright Consort,皇族宮廷類,帝后門,內命婦
zhao rong,昭容,Lady of Bright Countenance,皇族宮廷類,帝后門,內命婦
zhao yi,昭儀,,皇族宮廷類,帝后門,內命婦
zhuang fei,莊妃,Sedate Consort,皇族宮廷類,帝后門,內命婦
zhuang pin,莊嬪,,皇族宮廷類,帝后門,內命婦
